Zip_Code,Company,State
21153,Baltimore Gas & Electric Co,MD
21213,Baltimore Gas & Electric Co,MD
21234,Baltimore Gas & Electric Co,MD
20711,Baltimore Gas & Electric Co,MD
21040,Baltimore Gas & Electric Co,MD
21738,Baltimore Gas & Electric Co,MD
21017,Baltimore Gas & Electric Co,MD
21045,Baltimore Gas & Electric Co,MD
21013,Baltimore Gas & Electric Co,MD
21050,Baltimore Gas & Electric Co,MD
20861,Baltimore Gas & Electric Co,MD
21131,Baltimore Gas & Electric Co,MD
20764,Baltimore Gas & Electric Co,MD
21044,Baltimore Gas & Electric Co,MD
21231,Baltimore Gas & Electric Co,MD
21207,Baltimore Gas & Electric Co,MD
21771,Baltimore Gas & Electric Co,MD
20707,Baltimore Gas & Electric Co,MD
21084,Baltimore Gas & Electric Co,MD
20724,Baltimore Gas & Electric Co,MD
21077,Baltimore Gas & Electric Co,MD
20732,Baltimore Gas & Electric Co,MD
20763,Baltimore Gas & Electric Co,MD
21211,Baltimore Gas & Electric Co,MD
21228,Baltimore Gas & Electric Co,MD
20701,Baltimore Gas & Electric Co,MD
21028,Baltimore Gas & Electric Co,MD
21052,Baltimore Gas & Electric Co,MD
21239,Baltimore Gas & Electric Co,MD
21034,Baltimore Gas & Electric Co,MD
21136,Baltimore Gas & Electric Co,MD
21737,Baltimore Gas & Electric Co,MD
20751,Baltimore Gas & Electric Co,MD
20721,Baltimore Gas & Electric Co,MD
20706,Baltimore Gas & Electric Co,MD
21154,Baltimore Gas & Electric Co,MD
21144,Baltimore Gas & Electric Co,MD
20759,Baltimore Gas & Electric Co,MD
21791,Baltimore Gas & Electric Co,MD
21076,Baltimore Gas & Electric Co,MD
20772,Baltimore Gas & Electric Co,MD
21723,Baltimore Gas & Electric Co,MD
21205,Baltimore Gas & Electric Co,MD
21085,Baltimore Gas & Electric Co,MD
21216,Baltimore Gas & Electric Co,MD
21010,Baltimore Gas & Electric Co,MD
20758,Baltimore Gas & Electric Co,MD
20720,Baltimore Gas & Electric Co,MD
21102,Baltimore Gas & Electric Co,MD
21001,Baltimore Gas & Electric Co,MD
21071,Baltimore Gas & Electric Co,MD
21053,Baltimore Gas & Electric Co,MD
21061,Baltimore Gas & Electric Co,MD
20778,Baltimore Gas & Electric Co,MD
20779,Baltimore Gas & Electric Co,MD
21054,Baltimore Gas & Electric Co,MD
20868,Baltimore Gas & Electric Co,MD
21405,Baltimore Gas & Electric Co,MD
21087,Baltimore Gas & Electric Co,MD
21082,Baltimore Gas & Electric Co,MD
20755,Baltimore Gas & Electric Co,MD
21251,Baltimore Gas & Electric Co,MD
21794,Baltimore Gas & Electric Co,MD
21401,Baltimore Gas & Electric Co,MD
20770,Baltimore Gas & Electric Co,MD
20754,Baltimore Gas & Electric Co,MD
21162,Baltimore Gas & Electric Co,MD
20860,Baltimore Gas & Electric Co,MD
21128,Baltimore Gas & Electric Co,MD
