"","Date","Company","EVs","EVTOURebate"
"1",2020-07-01,"Baltimore Gas & Electric Co",10841,0
"2",2020-07-01,"Delmarva Power",840,1
"3",2020-07-01,"Potomac Electric Power Co",8192,0
"4",2020-07-01,"Southern Maryland Electric Cooperative Inc.",737,0
"5",2020-07-01,"The Potomac Edison Company",2227,1
"6",2020-08-01,"Baltimore Gas & Electric Co",11050,0
"7",2020-08-01,"Delmarva Power",864,1
"8",2020-08-01,"Potomac Electric Power Co",8329,0
"9",2020-08-01,"Southern Maryland Electric Cooperative Inc.",752,0
"10",2020-08-01,"The Potomac Edison Company",2264,1
"11",2020-09-01,"Baltimore Gas & Electric Co",11257,0
"12",2020-09-01,"Delmarva Power",883,1
"13",2020-09-01,"Potomac Electric Power Co",8464,0
"14",2020-09-01,"Southern Maryland Electric Cooperative Inc.",754,0
"15",2020-09-01,"The Potomac Edison Company",2299,1
"16",2020-10-01,"Baltimore Gas & Electric Co",11609,0
"17",2020-10-01,"Delmarva Power",917,1
"18",2020-10-01,"Potomac Electric Power Co",8699,0
"19",2020-10-01,"Southern Maryland Electric Cooperative Inc.",776,0
"20",2020-10-01,"The Potomac Edison Company",2356,1
"21",2020-11-01,"Baltimore Gas & Electric Co",11828,0
"22",2020-11-01,"Delmarva Power",938,1
"23",2020-11-01,"Potomac Electric Power Co",8857,0
"24",2020-11-01,"Southern Maryland Electric Cooperative Inc.",796,0
"25",2020-11-01,"The Potomac Edison Company",2412,1
"26",2020-12-01,"Baltimore Gas & Electric Co",12147,0
"27",2020-12-01,"Delmarva Power",960,1
"28",2020-12-01,"Potomac Electric Power Co",9061,0
"29",2020-12-01,"Southern Maryland Electric Cooperative Inc.",817,0
"30",2020-12-01,"The Potomac Edison Company",2462,1
"31",2021-01-01,"Baltimore Gas & Electric Co",12413,0
"32",2021-01-01,"Delmarva Power",991,1
"33",2021-01-01,"Potomac Electric Power Co",9246,0
"34",2021-01-01,"Southern Maryland Electric Cooperative Inc.",848,0
"35",2021-01-01,"The Potomac Edison Company",2518,1
"36",2021-02-01,"Baltimore Gas & Electric Co",12589,0
"37",2021-02-01,"Delmarva Power",1022,1
"38",2021-02-01,"Potomac Electric Power Co",9337,0
"39",2021-02-01,"Southern Maryland Electric Cooperative Inc.",872,0
"40",2021-02-01,"The Potomac Edison Company",2559,1
"41",2021-03-01,"Baltimore Gas & Electric Co",12935,0
"42",2021-03-01,"Delmarva Power",1056,1
"43",2021-03-01,"Potomac Electric Power Co",9553,0
"44",2021-03-01,"Southern Maryland Electric Cooperative Inc.",911,0
"45",2021-03-01,"The Potomac Edison Company",2628,1
"46",2021-04-01,"Baltimore Gas & Electric Co",13380,0
"47",2021-04-01,"Delmarva Power",1086,1
"48",2021-04-01,"Potomac Electric Power Co",9836,0
"49",2021-04-01,"Southern Maryland Electric Cooperative Inc.",955,0
"50",2021-04-01,"The Potomac Edison Company",2705,1
"51",2021-05-01,"Baltimore Gas & Electric Co",13786,0
"52",2021-05-01,"Delmarva Power",1128,1
"53",2021-05-01,"Potomac Electric Power Co",10093,0
"54",2021-05-01,"Southern Maryland Electric Cooperative Inc.",998,0
"55",2021-05-01,"The Potomac Edison Company",2783,1
"56",2021-06-01,"Baltimore Gas & Electric Co",14515,0
"57",2021-06-01,"Delmarva Power",1172,1
"58",2021-06-01,"Potomac Electric Power Co",10647,0
"59",2021-06-01,"Southern Maryland Electric Cooperative Inc.",1036,0
"60",2021-06-01,"The Potomac Edison Company",2911,1
