"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-01T23","PJM","PJM Interconnection, LLC","Demand",90380,"megawatthours",2020-01-01,23,2020,1,"Wednesday",0
"2020-01-01T22","PJM","PJM Interconnection, LLC","Demand",83682,"megawatthours",2020-01-01,22,2020,1,"Wednesday",0
"2020-01-01T21","PJM","PJM Interconnection, LLC","Demand",80990,"megawatthours",2020-01-01,21,2020,1,"Wednesday",0
"2020-01-01T20","PJM","PJM Interconnection, LLC","Demand",81203,"megawatthours",2020-01-01,20,2020,1,"Wednesday",0
"2020-01-01T19","PJM","PJM Interconnection, LLC","Demand",81650,"megawatthours",2020-01-01,19,2020,1,"Wednesday",0
"2020-01-01T18","PJM","PJM Interconnection, LLC","Demand",82417,"megawatthours",2020-01-01,18,2020,1,"Wednesday",0
"2020-01-01T17","PJM","PJM Interconnection, LLC","Demand",82948,"megawatthours",2020-01-01,17,2020,1,"Wednesday",0
"2020-01-01T16","PJM","PJM Interconnection, LLC","Demand",83313,"megawatthours",2020-01-01,16,2020,1,"Wednesday",0
"2020-01-01T15","PJM","PJM Interconnection, LLC","Demand",83235,"megawatthours",2020-01-01,15,2020,1,"Wednesday",0
"2020-01-01T14","PJM","PJM Interconnection, LLC","Demand",82793,"megawatthours",2020-01-01,14,2020,1,"Wednesday",0
"2020-01-01T13","PJM","PJM Interconnection, LLC","Demand",82147,"megawatthours",2020-01-01,13,2020,1,"Wednesday",0
"2020-01-01T12","PJM","PJM Interconnection, LLC","Demand",80341,"megawatthours",2020-01-01,12,2020,1,"Wednesday",0
"2020-01-01T11","PJM","PJM Interconnection, LLC","Demand",78408,"megawatthours",2020-01-01,11,2020,1,"Wednesday",0
"2020-01-01T10","PJM","PJM Interconnection, LLC","Demand",77715,"megawatthours",2020-01-01,10,2020,1,"Wednesday",0
"2020-01-01T09","PJM","PJM Interconnection, LLC","Demand",77566,"megawatthours",2020-01-01,9,2020,1,"Wednesday",0
"2020-01-01T08","PJM","PJM Interconnection, LLC","Demand",78096,"megawatthours",2020-01-01,8,2020,1,"Wednesday",0
"2020-01-01T07","PJM","PJM Interconnection, LLC","Demand",79460,"megawatthours",2020-01-01,7,2020,1,"Wednesday",0
"2020-01-01T06","PJM","PJM Interconnection, LLC","Demand",81219,"megawatthours",2020-01-01,6,2020,1,"Wednesday",0
"2020-01-01T05","PJM","PJM Interconnection, LLC","Demand",83534,"megawatthours",2020-01-01,5,2020,1,"Wednesday",0
"2020-01-01T04","PJM","PJM Interconnection, LLC","Demand",85226,"megawatthours",2020-01-01,4,2020,1,"Wednesday",0
"2020-01-01T03","PJM","PJM Interconnection, LLC","Demand",87907,"megawatthours",2020-01-01,3,2020,1,"Wednesday",0
"2020-01-01T02","PJM","PJM Interconnection, LLC","Demand",90573,"megawatthours",2020-01-01,2,2020,1,"Wednesday",0
"2020-01-01T01","PJM","PJM Interconnection, LLC","Demand",93365,"megawatthours",2020-01-01,1,2020,1,"Wednesday",0
"2020-01-01T00","PJM","PJM Interconnection, LLC","Demand",96028,"megawatthours",2020-01-01,0,2020,1,"Wednesday",0
"2020-01-02T23","PJM","PJM Interconnection, LLC","Demand",97375,"megawatthours",2020-01-02,23,2020,1,"Thursday",0
"2020-01-02T22","PJM","PJM Interconnection, LLC","Demand",92374,"megawatthours",2020-01-02,22,2020,1,"Thursday",0
"2020-01-02T21","PJM","PJM Interconnection, LLC","Demand",90128,"megawatthours",2020-01-02,21,2020,1,"Thursday",0
"2020-01-02T20","PJM","PJM Interconnection, LLC","Demand",90291,"megawatthours",2020-01-02,20,2020,1,"Thursday",0
"2020-01-02T19","PJM","PJM Interconnection, LLC","Demand",90954,"megawatthours",2020-01-02,19,2020,1,"Thursday",0
"2020-01-02T18","PJM","PJM Interconnection, LLC","Demand",91881,"megawatthours",2020-01-02,18,2020,1,"Thursday",0
"2020-01-02T17","PJM","PJM Interconnection, LLC","Demand",93574,"megawatthours",2020-01-02,17,2020,1,"Thursday",0
"2020-01-02T16","PJM","PJM Interconnection, LLC","Demand",95785,"megawatthours",2020-01-02,16,2020,1,"Thursday",0
"2020-01-02T15","PJM","PJM Interconnection, LLC","Demand",98242,"megawatthours",2020-01-02,15,2020,1,"Thursday",0
"2020-01-02T14","PJM","PJM Interconnection, LLC","Demand",100742,"megawatthours",2020-01-02,14,2020,1,"Thursday",0
"2020-01-02T13","PJM","PJM Interconnection, LLC","Demand",100999,"megawatthours",2020-01-02,13,2020,1,"Thursday",0
"2020-01-02T12","PJM","PJM Interconnection, LLC","Demand",95890,"megawatthours",2020-01-02,12,2020,1,"Thursday",0
"2020-01-02T11","PJM","PJM Interconnection, LLC","Demand",88702,"megawatthours",2020-01-02,11,2020,1,"Thursday",0
"2020-01-02T10","PJM","PJM Interconnection, LLC","Demand",84526,"megawatthours",2020-01-02,10,2020,1,"Thursday",0
"2020-01-02T09","PJM","PJM Interconnection, LLC","Demand",83507,"megawatthours",2020-01-02,9,2020,1,"Thursday",0
"2020-01-02T08","PJM","PJM Interconnection, LLC","Demand",83300,"megawatthours",2020-01-02,8,2020,1,"Thursday",0
